tframe,y,x,track_no
1,449,1361,1
2,449,1359,1
3,448,1357,1
4,448,1358,1
5,448,1360,1
6,448,1361,1
7,448,1362,1
8,447,1363,1
9,448,1363,1
10,448,1362,1
11,448,1364,1
12,449,1362,1
13,448,1367,1
14,448,1367,1
15,448,1366,1
16,448,1365,1
17,448,1363,1
18,448,1363,1
19,447,1363,1
20,448,1363,1
21,448,1363,1
22,448,1362,1
23,448,1362,1
24,447,1363,1
25,448,1363,1
26,448,1362,1
27,448,1362,1
28,448,1362,1
29,448,1362,1
30,448,1361,1
31,448,1361,1
32,448,1364,1
33,448,1368,1
34,449,1372,1
35,449,1373,1
36,448,1372,1
37,448,1373,1
38,448,1374,1
39,448,1373,1
40,448,1371,1
41,448,1370,1
42,448,1368,1
43,448,1368,1
44,448,1368,1
45,447,1367,1
46,447,1367,1
47,448,1367,1
48,448,1366,1
49,448,1365,1
50,448,1366,1
51,448,1364,1
52,448,1363,1
53,448,1364,1
54,448,1363,1
55,448,1361,1
56,448,1361,1
57,448,1359,1
58,448,1359,1
59,448,1358,1
60,447,1359,1
61,447,1360,1
62,448,1360,1
63,447,1358,1
64,448,1358,1
65,448,1358,1
66,449,1358,1
67,445,1358,1
68,445,1358,1
69,444,1356,1
70,444,1356,1
71,444,1356,1
74,859,446,1
75,848,444,1
76,848,444,1
77,848,444,1
78,848,446,1
79,848,447,1
80,848,444,1
81,848,452,1
82,848,452,1
83,849,452,1
84,848,442,1
85,848,437,1
86,847,434,1
87,847,430,1
88,847,422,1
89,847,416,1
90,848,417,1
91,848,415,1
92,848,412,1
93,848,412,1
94,848,411,1
95,848,411,1
96,848,408,1
97,848,403,1
98,848,401,1
99,848,401,1
100,848,390,1
101,848,382,1
102,850,382,1
103,850,380,1
104,848,371,1
105,848,368,1
106,848,362,1
107,848,356,1
108,848,352,1
109,849,346,1
110,849,344,1
111,848,339,1
112,848,330,1
113,848,326,1
114,849,320,1
115,848,310,1
116,848,306,1
117,848,307,1
118,848,307,1
119,848,312,1
120,849,311,1
121,848,309,1
122,849,309,1
123,849,309,1
124,849,314,1
125,849,316,1
126,849,326,1
127,849,331,1
128,848,342,1
129,848,344,1
130,851,350,1
131,851,354,1
132,850,364,1
133,850,369,1
134,849,372,1
135,848,374,1
136,848,382,1
137,848,384,1
138,848,384,1
139,848,382,1
140,848,35,1
141,848,37,1
142,848,382,1
143,848,392,1
144,848,394,1
145,848,392,1
146,848,388,1
147,848,392,1
148,848,398,1
149,848,392,1
150,847,384,1
151,848,388,1
152,848,386,1
153,848,388,1
154,848,388,1
155,848,382,1
156,848,382,1
157,848,382,1
158,848,382,1
159,848,382,1
160,848,382,1
161,848,362,1
162,848,396,1
163,848,397,1
164,848,390,1
165,848,390,1
166,848,388,1
167,848,392,1
168,848,388,1
169,848,382,1
170,848,382,1
171,848,368,1
172,848,368,1
173,848,366,1
174,849,360,1
175,848,356,1
176,849,352,1
177,848,352,1
178,848,348,1
179,848,352,1
180,848,348,1
181,848,348,1
182,848,350,1
183,848,348,1
184,848,348,1
185,848,359,1
186,848,360,1
187,848,364,1
188,848,364,1
189,848,372,1
190,848,382,1
191,848,388,1
192,848,390,1
193,848,402,1
194,848,416,1
195,848,420,1
196,848,428,1
197,848,434,1
198,848,443,1
199,848,452,1
200,849,454,1
201,848,454,1
202,860,456,1
203,862,486,1
204,862,490,1
205,862,496,1
206,862,496,1
207,864,494,1
1,795,946,2
2,795,922,2
3,795,910,2
4,795,895,2
5,795,874,2
6,795,856,2
7,795,832,2
8,795,810,2
9,796,786,2
10,797,773,2
11,797,758,2
12,797,745,2
13,798,725,2
14,798,696,2
15,798,674,2
16,798,656,2
17,798,632,2
18,798,608,2
19,798,585,2
20,799,562,2
21,799,539,2
22,799,514,2
23,799,483,2
24,799,458,2
25,799,435,2
26,798,402,2
27,798,384,2
28,798,368,2
