tframe,y,x,track_no
1,589,533,1
2,589,526,1
3,589,517,1
4,588,507,1
5,588,500,1
6,588,495,1
7,589,484,1
8,588,476,1
9,588,469,1
10,589,464,1
11,590,459,1
12,589,455,1
13,589,451,1
14,590,446,1
15,590,440,1
16,590,434,1
17,590,429,1
18,590,422,1
19,590,411,1
20,590,404,1
21,590,391,1
22,590,378,1
23,591,368,1
24,590,364,1
25,590,353,1
26,590,347,1
27,591,335,1
28,591,325,1
29,591,319,1
30,593,315,1
31,591,309,1
32,591,299,1
33,591,289,1
34,590,283,1
35,591,276,1
36,591,275,1
37,591,266,1
38,591,266,1
39,590,257,1
40,590,243,1
41,590,243,1
42,591,235,1
43,590,231,1
44,590,225,1
45,590,217,1
46,591,215,1
47,591,209,1
48,590,195,1
49,590,189,1
50,590,179,1
51,590,177,1
52,590,171,1
53,590,164,1
54,590,154,1
55,589,149,1
56,589,139,1
57,589,139,1
58,589,133,1
59,589,125,1
60,589,116,1
61,590,108,1
62,590,100,1
63,590,97,1
64,590,88,1
65,590,81,1
66,590,75,1
67,590,75,1
68,590,75,1
69,590,67,1
70,590,59,1
71,590,47,1
72,590,45,1
73,590,33,1
74,590,25,1
75,590,15,1
76,590,10,1
77,590,5,1
80,1067,1371,1
81,1066,1365,1
82,1065,1363,1
83,1064,1358,1
84,1064,1350,1
85,1064,1345,1
86,1064,1342,1
87,1065,1336,1
88,1064,1333,1
89,1064,1327,1
90,1064,1321,1
91,1064,1314,1
92,1064,1308,1
93,1064,1304,1
94,1064,1300,1
95,1064,1294,1
96,1064,1291,1
97,1064,1287,1
98,1064,1282,1
99,1064,1276,1
100,1064,1273,1
101,1064,1271,1
102,1064,1269,1
103,1064,1264,1
104,1064,1260,1
105,1064,1255,1
106,1064,1250,1
107,1064,1245,1
108,1064,1244,1
109,1064,1237,1
110,1064,1233,1
111,1064,1227,1
112,1064,1222,1
113,1064,1221,1
114,1064,1212,1
115,1064,1207,1
116,1064,1200,1
117,1064,1195,1
118,1064,1188,1
119,1064,1184,1
120,1064,1178,1
121,1064,1176,1
122,1064,1172,1
123,1064,1169,1
124,1064,1164,1
125,1064,1158,1
126,1064,1153,1
127,1064,1146,1
128,1064,1140,1
129,1064,1134,1
130,1064,1126,1
131,1064,1119,1
132,1064,1117,1
134,1064,1102,1
135,1063,1099,1
136,1063,1096,1
137,1064,1093,1
138,1064,1086,1
139,1064,1080,1
140,1064,1072,1
141,1064,1064,1
142,1064,1059,1
143,1064,1052,1
144,1064,1047,1
145,1064,1042,1
146,1063,1037,1
147,1063,1034,1
148,1063,1026,1
149,1063,1017,1
150,1063,1013,1
151,1063,1011,1
152,1063,1008,1
153,1063,998,1
154,1063,991,1
155,1063,985,1
156,1062,981,1
157,1062,976,1
158,1063,973,1
159,1063,966,1
160,1063,962,1
161,1063,955,1
162,1062,951,1
163,1062,946,1
164,1062,941,1
165,1062,937,1
166,1061,930,1
167,1063,926,1
168,1063,920,1
169,1063,915,1
170,1063,912,1
172,1063,909,1
173,1063,905,1
174,1063,903,1
175,1063,899,1
176,1063,896,1
177,1063,893,1
178,1063,886,1
179,1063,881,1
180,1063,876,1
181,1063,871,1
182,1064,866,1
183,1064,862,1
184,1063,856,1
185,1063,851,1
186,1063,849,1
187,1063,843,1
188,1063,839,1
189,1063,834,1
190,1063,829,1
191,1063,824,1
192,1063,821,1
193,1063,816,1
194,1063,811,1
195,1062,808,1
196,1063,807,1
197,1063,800,1
198,1063,796,1
199,1063,792,1
1,380,981,2
2,380,966,2
3,381,952,2
4,381,936,2
5,381,920,2
6,380,910,2
7,380,896,2
8,381,880,2
9,381,872,2
10,381,863,2
11,381,855,2
12,380,843,2
13,380,832,2
14,380,824,2
15,380,815,2
16,380,898,2
17,381,778,2
18,380,765,2
19,380,755,2
20,380,746,2
21,380,735,2
22,381,727,2
23,381,720,2
24,381,715,2
