"subtrack_length","mean_displacement","mean_maxdisplacement"
1,2.80998687575572,2.80998687575572
2,4.7178865105468,4.96341778292153
3,6.53738896872801,6.95494074142757
4,8.28676159044758,8.85526884083533
5,9.98916416759644,10.6956850427636
6,11.6588595754401,12.4880535470371
7,13.2859920065828,14.2392191142146
8,14.8749471665168,15.9552401363095
9,16.4300876101375,17.6387287041898
10,17.9422450442131,19.2905262813375
11,19.4248299414027,20.9055912229039
12,20.8662162806923,22.4834087100615
13,22.2631930059071,24.0325118716448
14,23.6291392442329,25.5550273018504
15,24.9664039767588,27.0480736374559
16,26.2699118503555,28.5126898165297
17,27.5418902103607,29.9420181723937
18,28.7772023774601,31.3460213948375
19,29.982077023988,32.7186728431679
20,31.1769770817326,34.077270878362
