"subtrack_length","mean_displacement","mean_maxdisplacement"
1,8083.08790980452,8083.08790980452
2,8056.95629170112,12109.9808706305
3,8107.10353180599,16165.0212776601
4,8147.90030528761,20254.128991906
5,8189.52942884694,24378.1811884843
6,8228.92175250441,28537.5110464876
7,8269.46113710911,32733.1703574989
8,8308.97229116756,36965.6313023492
9,8310.71244040171,41195.9637840516
10,8351.73459624145,45464.0173949776
11,8390.90077118568,49763.3456577696
12,8422.48139965722,54091.8759482952
13,8463.70426417438,58458.3735399534
14,8503.54637256346,62862.8161913644
15,8545.07579181683,67306.5690859709
16,8586.07388948437,71785.2900104882
17,8625.72480116147,76303.1493178653
18,8668.00508381293,80861.0966861846
19,8709.56458430077,85454.356651981
20,8750.03257614891,90087.710707014
