"subtrack_length","mean_displacement","mean_maxdisplacement"
1,4.99610377613123,4.99610377613123
2,8.10799608723785,8.78993796636381
3,11.9809393806695,12.5123104479297
4,15.1870905659872,16.1072507761693
5,18.7943032790026,19.650259533127
6,21.973801171396,23.1070456541461
7,25.3730307663478,26.5126932349745
8,28.4744807211699,29.8437047949568
9,31.7048758725639,33.1181593520984
10,34.7072314975598,36.32565891864
11,37.7753079349999,39.4819251563739
12,40.6632215458491,42.5827355690404
13,43.5968787007096,45.6241746022101
14,46.3643569121764,48.6019899182366
15,49.1544915726984,51.535015228694
16,51.8261162625573,54.4137653152837
17,54.5006575921332,57.2418251434036
18,57.0858539944127,60.0283911619764
19,59.6583109309558,62.7717006701488
20,62.1534956878219,65.4652900824455
