"subtrack_length","mean_displacement","mean_maxdisplacement"
1,191.515861153659,191.515861153659
2,215.57186504903,299.087561837746
3,229.958036027971,400.972147635678
4,242.286395778319,502.864898884964
5,250.93605046017,602.555338799815
6,216.625906598898,679.004054231838
7,276.591403796058,755.612933635965
8,286.097215944487,829.935667459043
9,298.752075958962,904.458128903903
10,310.47303622144,979.176297140929
11,322.828265591707,1054.09462133826
12,334.455757348598,1129.22482792324
13,344.116967861071,1204.55533014939
14,353.221936434863,1280.07412984121
15,362.603740654015,1355.78048642029
16,371.512411346547,1431.67342786547
17,380.643193903877,1507.82409244047
18,389.404419993352,1584.17770683054
19,398.260276128335,1660.73863434238
20,403.876282623459,1736.01604813101
