"subtrack_length","mean_displacement","mean_maxdisplacement"
1,7.58032219863339,7.58032219863339
2,14.508600680935,14.6835207531581
3,21.3022164477799,21.6095765184028
4,27.9375316394169,28.3911426332684
5,34.4188691253551,35.0382396725063
6,40.7624836362228,41.5658752020648
7,46.9696492512815,47.9742899108174
8,53.0432006824287,54.2679122428003
9,59.001344010974,60.4496063692836
10,64.8389267610953,66.5277110167859
11,70.5654752688956,72.5020764027822
12,76.1829166728823,78.3761387122955
13,81.6996940170236,84.1592660494654
14,87.1004995237651,89.8367069680098
15,92.3933051437501,95.4167811879433
16,97.5779165843342,100.88383763632
17,102.640939840941,106.252012847092
18,107.592651007631,111.521813246643
19,112.415250286727,116.69426838283
20,117.125734948485,121.760403674217
