"subtrack_length","mean_displacement","mean_maxdisplacement"
1,48.919344225061,48.919344225061
2,15.9383418381722,56.8165227539521
3,63.6940147272804,64.8387803637487
4,31.4190048511734,72.5788397557808
5,78.1217369226745,80.4465273897244
6,46.4445490893335,87.9878667751811
7,92.1008383478336,95.6604108907458
8,61.0375687385339,103.030096588722
9,105.695504386058,110.517315249635
10,75.1972964384455,117.708524788052
11,118.941583827676,125.065471991513
12,89.0410083939551,132.101987621133
13,131.835836572591,139.314489880261
14,102.593346403031,146.254191441264
15,144.521675316237,153.368364572889
16,115.883329708844,160.19839576369
17,157.06958826454,167.211457362948
18,129.008363445567,173.957203762883
19,169.487956473001,180.868096709847
20,142.037936667104,187.531665351355
