"subtrack_length","mean_displacement","mean_maxdisplacement"
1,7.62936175056347,7.62936175056347
2,15.0482099094579,15.1044025482022
3,22.4177333951599,22.5227052563642
4,29.7166926174539,29.8801001979011
5,36.9431158069643,37.1818385153286
6,44.1028192373581,44.4262284978917
7,51.1855204927224,51.609745212224
8,58.2065899551165,58.7409139568062
9,65.1650312571293,65.8155564809647
10,72.0678532375425,72.8426196352482
11,78.9131737503538,79.8232938847197
12,85.7077350161458,86.7528833659901
13,92.447158481981,93.6368220503691
14,99.1421761169795,100.476926144389
15,105.793810161995,107.273450080241
16,112.406199364507,114.031465344399
17,118.982239686761,120.757057189676
18,125.522535777981,127.45196379288
19,132.02631654597,134.114735730095
20,138.4970852477,140.749020721348
