"subtrack_length","mean_displacement","mean_maxdisplacement"
1,17.7530548093437,17.7530548093437
2,34.7682975183055,34.9652966803043
3,51.7269447514338,52.0545885914353
4,68.5680751334067,69.0210770436058
5,85.2696120842564,85.8589599348272
6,101.819620785585,102.571727257638
7,118.207798159611,119.157026170358
8,134.459732736275,135.618845631238
9,150.573921158965,151.96592582847
10,166.569238710593,168.211268191581
11,182.426438024293,184.338184914226
12,198.190068864635,200.357272174987
13,213.858271108593,216.294792318342
14,229.434359589138,232.140222164102
15,244.923085416706,247.902267667151
16,260.339003135191,263.582860981213
17,275.692198712023,279.188661432751
18,290.952463410786,294.695353223791
19,306.1288944419,310.120657141396
20,321.227129997241,325.474865929397
