"subtrack_length","mean_displacement","mean_maxdisplacement"
1,101.370098550734,101.370098550734
2,106.371169898755,154.554911234724
3,111.683238934027,208.214948778736
4,117.139734599319,262.45247732154
5,122.488721318208,317.276216427547
6,127.777362827926,372.68997766913
7,133.064042675753,428.718924918489
8,138.282643271204,485.336160623893
9,143.472082018495,542.590370370877
10,148.627564170943,600.496131549143
11,153.666472658611,658.9577652956
12,158.677491632601,718.09362528905
13,163.726218374127,777.910426036843
14,168.729602749898,838.265176880923
15,173.625137600399,899.174669411809
16,178.56230393834,960.767851578859
17,183.478739800765,1023.05972473229
18,188.338582758965,1086.06507532587
19,193.167927853684,1149.73701664244
20,197.979798304364,1214.1433525984
