"subtrack_length","mean_displacement","mean_maxdisplacement"
1,8.20317383843408,8.20317383843408
2,15.587474044562,15.8363853361382
3,23.1748551619968,23.4594678073823
4,30.6709559976777,31.0296766508721
5,38.1412965094946,38.5523233689572
6,45.5670712367876,46.0328321715274
7,52.9667033598595,53.4772776029448
8,60.3400275367058,60.9011651569949
9,67.6663772539649,68.2888721353879
10,74.9511291795381,75.632867839435
11,82.2077308550204,82.9440281163527
12,89.4071171887331,90.2064479204996
13,96.5589646637752,97.4258493876691
14,103.686551605512,104.615995540832
15,110.747901493103,111.756521698469
16,117.759220109262,118.849402600232
17,124.713275078892,125.901917126609
18,131.615178472473,132.907426306084
19,138.470426074311,139.876736850335
20,145.286116612721,146.811575052286
