"subtrack_length","mean_displacement","mean_maxdisplacement"
1,99.2994315872455,99.2994315872455
2,115.060850969173,156.77566327612
3,125.038064075265,211.526454836751
4,128.52475222534,263.184176873936
5,144.501130490319,314.969646532074
6,153.956258513956,366.790520587536
7,163.197095064384,418.687151732232
8,172.289025926499,470.697299346185
9,181.36257255147,522.912922972569
10,190.179364974716,575.168762701939
11,198.88524015716,627.576378022802
12,207.383537996523,680.039391794552
13,215.800283924441,732.715687963993
14,224.151023458311,785.598232140597
15,232.343828019686,838.608916008333
16,240.345275147397,891.730041846456
17,248.245378603898,945.027418169774
18,256.05622016366,998.534360585745
19,263.785537531084,1052.21953450143
20,271.374044478248,1106.06815260303
