"subtrack_length","mean_displacement","mean_maxdisplacement"
1,5.00152936564578,5.00152936564578
2,9.771760084151,9.83477230199558
3,14.524748761937,14.6298476882638
4,19.2505970597413,19.3908865562011
5,23.9416848639125,24.1123249944871
6,28.5968800853564,28.8006578806696
7,33.212995861175,33.4586317281075
8,37.7957287732399,38.0852626619733
9,42.3336371788677,42.6752171009878
10,46.8274749008741,47.2244218203292
11,51.2803803288623,51.7425995623559
12,55.6932878178626,56.2298264924202
13,60.0690750425798,60.6840695231771
14,64.4058596074643,65.1035918973398
15,68.7041139152983,69.4871324482944
16,72.9579508866019,73.8373541120708
17,77.166309143155,78.1469480187399
18,81.355658893394,82.4360035256938
19,85.5044278743404,86.6907200130947
20,89.6154286528046,90.9116884325988
