"subtrack_length","mean_displacement","mean_maxdisplacement"
1,6172908245464262656,6172908245464262656
2,6190483862585907200,9285725793878859776
3,6208159848716300288,12416319697432600576
4,6225937066082761728,15564842665206904832
5,6243816386817019904,18731449160451051520
6,6261798693097810944,21916295425842339840
7,6.279884877296e+18,2.5119539509184e+19
8,6298075842122190848,28341341289549848576
9,6316372500776893440,31581862503884472320
10,6334775777103380480,34841266774068588544
11,6353286605743155200,38119719634458927104
12,6371905932294187008,41417388559912214528
13,6390634713471937536,44734442994303549440
14,6409473917273222144,48071054379549171712
15,6428424523142991872,51427396185143926784
16,6447487522144066560,54803643938224578560
17,6466663917129921536,58199975254169296896
18,6485954722920536064,61616569867745099776
19,6505360966481426432,65053609664814268416
20,6524883687105884160,68511278714611769344
